# Dose   CD_pixels   EPE_pixels
5.000000000000000000e-01 4.000000000000000000e+00 -2.530000000000000000e+02
5.999999999999999778e-01 4.000000000000000000e+00 -2.530000000000000000e+02
6.999999999999999556e-01 4.000000000000000000e+00 -2.530000000000000000e+02
8.000000000000000444e-01 4.000000000000000000e+00 -2.530000000000000000e+02
9.000000000000000222e-01 4.000000000000000000e+00 -2.530000000000000000e+02
1.000000000000000000e+00 4.000000000000000000e+00 -2.530000000000000000e+02
1.100000000000000089e+00 4.000000000000000000e+00 -2.530000000000000000e+02
1.200000000000000178e+00 4.000000000000000000e+00 -2.530000000000000000e+02
1.300000000000000044e+00 4.000000000000000000e+00 -2.530000000000000000e+02
1.399999999999999911e+00 4.000000000000000000e+00 -2.530000000000000000e+02
1.500000000000000000e+00 4.000000000000000000e+00 -2.530000000000000000e+02
